,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
153,51409167351.0,100.3,67.2,4.8,Belgrade,75.5,12.0,1.57,Serbian,40.6,3.11,6944975.0,54.9,18.6,36.6,12.69,"3,907,243",Serbia,44.016521,21.005859,Europa
154,1698843063.0,100.4,17.1,12.4,"Victoria, Seychelles",72.8,53.0,2.0,French,2.5,0.95,97625.0,,34.1,30.1,,"55,762",Seychelles,-4.679574,55.491977,Asia
155,3941474311.0,112.8,2.0,78.5,Freetown,54.3,1120.0,0.57,English,38.2,0.03,7813215.0,57.9,8.6,30.7,4.43,"3,319,366",Sierra Leone,8.460555,-11.779889,Asia
156,372062527489.0,100.6,84.8,2.3,,83.1,8.0,,Malay,36.7,2.29,5703569.0,70.5,13.1,21.0,4.11,"5,703,569",Singapore,1.352083,103.819836,Asia
157,105422304976.0,98.7,46.6,4.6,Bratislava,77.2,5.0,3.11,Slovak,18.4,3.42,5454073.0,59.5,18.7,49.7,5.56,"2,930,419",Slovakia,48.669026,19.699024,Europa
158,53742159517.0,100.4,78.6,1.7,Ljubljana,81.0,7.0,5.25,Slovene language,12.5,3.09,2087946.0,58.4,18.6,31.0,4.2,"1,144,654",Slovenia,46.151241,14.995463,Europa
159,1425074226.0,106.2,,17.1,Honiara,72.8,104.0,0.4,English,3.3,0.19,669823.0,83.8,29.5,32.0,0.58,"162,164",Solomon Islands,-9.64571,160.156194,Asia
160,4720727278.0,23.4,2.5,76.6,Bosaso,57.1,829.0,,Arabic,,0.02,15442905.0,47.4,0.0,,11.35,"7,034,861",Somalia,5.152149,46.199616,Asia
161,351431649241.0,100.9,22.4,28.5,Johannesburg,63.9,119.0,,Afrikaans,7.7,0.91,58558270.0,56.0,27.5,29.2,28.18,"39,149,717",South Africa,-30.559482,22.937506,Africa
162,2029000000000.0,98.1,94.3,2.7,Seoul,82.6,11.0,6.49,Korean,36.8,2.36,51709098.0,63.0,15.6,33.2,4.15,"42,106,719",South Korea,35.907757,127.766922,Asia
163,11997800751.0,73.0,,63.7,Juba,57.6,1150.0,,English,61.3,,11062113.0,72.4,,31.4,12.24,"2,201,250",South Sudan,6.8769919,31.3069788,Asia
164,1394116310769.0,102.7,88.9,2.5,Madrid,83.3,4.0,5.6,Spanish,24.2,3.87,47076781.0,57.5,14.2,47.0,13.96,"37,927,409",Spain,40.463667,-3.74922,Europa
165,84008783756.0,100.2,19.6,6.4,Colombo,76.8,36.0,0.35,Tamil,38.4,1.0,21803000.0,53.9,11.9,55.2,4.2,"4,052,088",Sri Lanka,7.873054,80.771797,Asia
166,18902284476.0,76.8,16.9,42.1,Omdurman,65.1,295.0,0.41,Arabic,63.2,0.26,42813238.0,48.4,8.0,45.4,16.53,"14,957,233",Sudan,12.862807,30.217636,Asia
167,3985250737.0,108.8,12.6,16.9,Paramaribo,71.6,120.0,,Dutch,10.1,1.21,581372.0,51.1,19.5,27.9,7.33,"384,258",Suriname,3.919305,-56.027783,America
168,530832908738.0,126.6,67.0,2.2,S�����,82.5,4.0,,Swedish,15.2,3.98,10285453.0,64.6,27.9,49.1,6.48,"9,021,165",Sweden,60.128161,18.643501,Europa
169,703082435360.0,105.2,59.6,3.7,Z���,83.6,5.0,,German,28.3,4.3,8574832.0,68.3,10.1,28.8,4.58,"6,332,428",Switzerland,46.818188,8.227512,Europa
170,40405006007.0,81.7,40.1,14.0,Damascus,71.8,31.0,1.02,Arabic,53.7,1.22,17070135.0,44.1,14.2,42.7,8.37,"9,358,019",Syria,34.802075,38.996815,Asia
171,8116626794.0,100.9,31.3,30.4,Dushanbe,70.9,17.0,0.23,Persian,63.1,1.7,9321018.0,42.0,9.8,67.3,11.02,"2,545,477",Tajikistan,38.861034,71.276093,Asia
172,63177068175.0,94.2,4.0,37.6,Dar es Salaam,65.0,524.0,0.09,Swahili,26.1,0.01,58005463.0,83.4,11.5,43.8,1.98,"20,011,885",Tanzania,-6.369028,34.888822,Asia
173,543649976166.0,99.8,49.3,7.8,Bangkok,76.9,37.0,1.06,Thai,11.8,0.81,69625582.0,67.3,14.9,29.5,0.75,"35,294,600",Thailand,15.870032,100.992541,Asia
174,1673540300.0,115.3,17.8,39.3,Dili,69.3,142.0,0.6,Portuguese,10.2,0.72,3500000.0,67.3,25.0,17.3,4.55,"400,182",East Timor,-8.874217,125.727539,Asia
175,5459979417.0,123.8,14.5,47.4,Lom�,60.8,396.0,0.34,French,51.0,0.08,8082366.0,77.6,16.9,48.2,2.04,"3,414,638",Togo,8.619543,0.824782,Asia
176,450353314.0,116.3,6.4,13.4,Nuku����,70.8,52.0,,Tongan Language,10.2,0.52,100209.0,59.8,22.3,27.5,1.12,"24,145",Tonga,-21.178986,-175.198242,Oceania
177,24100202834.0,106.2,12.0,16.4,Chaguanas,73.4,67.0,2.25,English,37.3,4.17,1394973.0,60.0,19.5,40.5,2.69,"741,944",Trinidad and Tobago,10.691803,-61.222503,America
178,38797709924.0,115.4,31.7,14.6,Tunis,76.5,43.0,0.47,Arabic,39.8,1.3,11694719.0,46.1,21.1,60.7,16.02,"8,099,061",Tunisia,33.886917,9.537499,Asia
179,754411708203.0,93.2,23.9,9.1,Istanbul,77.4,17.0,3.45,Turkish,16.9,1.85,83429615.0,52.8,17.9,42.3,13.49,"63,097,818",Turkey,38.963745,35.243322,Europa
180,40761142857.0,88.4,8.0,39.3,Ashgabat,68.1,7.0,0.88,Turkmen,71.1,2.22,5942089.0,64.5,,,3.91,"3,092,738",Turkmenistan,38.969719,59.556278,Asia
181,47271463.0,86.0,,20.6,Singapore,,,,Tuvaluan Language,0.7,0.92,11646.0,,,,,"7,362",Tuvalu,-7.109535,177.64933,Asia
182,34387229486.0,102.7,4.8,33.8,Buganda,63.0,375.0,0.01,Swahili,40.5,0.17,44269594.0,70.3,11.7,33.7,1.84,"10,784,516",Uganda,1.373333,32.290275,Asia
183,153781069118.0,99.0,82.7,7.5,Kyiv,71.6,19.0,0.84,Ukrainian,47.8,2.99,44385155.0,54.2,20.1,45.2,8.88,"30,835,699",Ukraine,48.379433,31.16558,Europa
184,421142267938.0,108.4,36.8,6.5,Dubai,77.8,3.0,,Arabic,17.8,2.53,9770529.0,82.1,0.1,15.9,2.35,"8,479,744",United Arab Emirates,23.424076,53.847818,Asia
185,2827113184696.0,101.2,60.0,3.6,London,81.3,7.0,10.13,English,14.8,2.81,66834405.0,62.8,25.5,30.6,3.85,"55,908,316",United Kingdom,55.378051,-3.435973,Europa
186,21427700000000.0,101.8,88.2,5.6,New York City,78.5,19.0,7.25,,11.1,2.61,328239523.0,62.0,9.6,36.6,14.7,"270,663,028",United States,37.09024,-95.712891,America
187,56045912952.0,108.5,63.1,6.4,Montevideo,77.8,17.0,1.66,Spanish,16.2,5.05,3461734.0,64.0,20.1,41.8,8.73,"3,303,394",Uruguay,-32.522779,-55.765835,America
188,57921286440.0,104.2,10.1,19.1,Tashkent,71.6,29.0,0.24,Uzbek,42.7,2.37,33580650.0,65.1,14.8,31.6,5.92,"16,935,729",Uzbekistan,41.377491,64.585262,Asia
189,917058851.0,109.3,4.7,22.3,Port Vila,70.3,72.0,1.56,French,8.9,0.17,299882.0,69.9,17.8,8.5,4.39,"76,152",Vanuatu,-15.376706,166.959158,Oceania
190,482359318768.0,97.2,79.3,21.4,Caracas,72.1,125.0,0.01,Spanish,45.8,1.92,28515829.0,59.7,,73.3,8.8,"25,162,368",Venezuela,6.42375,-66.58973,America
191,261921244843.0,110.6,28.5,16.5,Ho Chi Minh City,75.3,43.0,0.73,Vietnamese,43.5,0.82,96462106.0,77.4,19.1,37.6,2.01,"35,332,140",Vietnam,14.058324,108.277199,Asia
192,26914402224.0,93.6,10.2,42.9,Sanaa,66.1,164.0,,Arabic,81.0,0.31,29161922.0,38.0,,26.6,12.91,"10,869,523",Yemen,15.552727,48.516388,Asia
193,23064722446.0,98.7,4.1,40.4,Lusaka,63.5,213.0,0.24,English,27.5,1.19,17861030.0,74.6,16.2,15.6,11.43,"7,871,713",Zambia,-13.133897,27.849332,Africa
194,21440758800.0,109.9,10.0,33.9,Harare,61.2,458.0,,Shona,25.8,0.21,14645468.0,83.1,20.7,31.6,4.95,"4,717,305",Zimbabwe,-19.015438,29.154857,Africa
